"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0499-2012-04-15",2012,2012-04-16 09:05:17,2012-09-13 10:55:35,2012-04-19 23:30:05,NA,NA,0,"up",2012-04-19 23:30:05,9693,20417,NA,64.6827380957143,57.69702381
"UCDHIST-GS0500-2012-04-16",2012,2012-04-17 12:22:33,2012-08-24 14:08:21,2012-05-16 12:21:47,NA,NA,0,"up",2012-05-16 12:21:47,7518,8990,NA,67.2583333342857,65.2994047628571
"UCDHIST-GS0500-2012-04-16",2013,2013-03-14 04:56:23,2013-07-18 02:34:35,2013-05-23 01:17:47,NA,NA,0,"up",2013-05-23 01:17:47,9886,11592,NA,66.8529761914286,68.4928571414286
"UCDHIST-GS0502-2012-04-16",2012,2012-04-17 08:35:55,2012-07-31 19:47:18,2012-06-05 02:54:47,NA,NA,0,"up",2012-06-05 02:54:47,9299,10164,NA,68.5636904771429,68.8113095242857
"UCDHIST-GS0503-2012-04-17",2012,2012-04-19 13:27:09,2012-09-25 09:10:52,2012-06-07 04:41:16,NA,NA,0,"up",2012-06-07 04:41:16,NA,NA,NA,68.8136904771429,69.0202380957143
"UCDHIST-GS0503-2012-04-17",2013,2012-10-06 02:14:01,2013-08-28 23:00:41,2013-08-23 02:22:59,NA,NA,0,"up",2013-08-23 02:22:59,NA,NA,NA,71.37904762,72.8779761914286
"UCDHIST-GS0506-2012-04-18",2012,2012-04-20 13:46:13,2012-05-20 22:28:33,2012-04-25 03:26:23,NA,NA,0,"up",2012-04-25 03:26:23,10503,19646,NA,64.0571428571428,62.4857142857143
"UCDHIST-GS0507-2012-04-19",2012,2012-04-20 12:29:15,2012-08-20 10:29:42,2012-07-11 06:36:54,NA,NA,0,"up",2012-07-11 06:36:54,NA,NA,NA,71.3910714285714,71.1708333328571
"UCDHIST-GS0507-2012-04-19",2013,2013-01-20 01:39:36,2013-09-14 08:51:12,2013-09-13 06:02:40,NA,NA,0,"up",2013-09-13 06:02:40,NA,NA,NA,69.9809523814286,71.5142857128571
"UCDHIST-GS0508-2012-04-19",2013,2013-02-22 00:04:56,2013-07-09 00:03:58,2013-04-10 00:44:19,NA,NA,0,"up",2013-04-10 00:44:19,NA,NA,NA,61.6053571442857,62.5613095242857
"UCDHIST-GS0509-2012-04-19",2012,2012-04-20 11:13:34,2012-07-04 20:39:14,2012-05-23 12:03:54,NA,NA,0,"up",2012-05-23 12:03:54,NA,NA,NA,67.69702381,67.10654762
"UCDHIST-GS0510-2012-04-19",2012,2012-04-20 13:43:28,2012-09-18 09:27:55,2012-05-24 09:18:44,NA,NA,0,"up",2012-05-24 09:18:44,NA,NA,NA,67.7571428571429,67.2583333342857
"UCDHIST-GS0510-2012-04-19",2013,2013-03-09 06:32:34,2013-06-07 09:20:43,2013-05-20 21:25:10,NA,NA,0,"up",2013-05-20 21:25:10,NA,NA,NA,67.5077380957143,68.65
"UCDHIST-GS0512-2012-04-20",2012,2012-04-21 10:39:33,2012-09-30 23:59:59,2012-05-14 18:07:38,NA,NA,0,"up",2012-05-14 18:07:38,NA,NA,NA,66.9202380957143,64.0898809528571
"UCDHIST-GS0512-2012-04-20",2014,2014-04-18 06:27:11,2014-09-26 02:43:12,2014-09-28 08:18:39,NA,NA,0,"up",2014-09-28 08:18:39,4835,7266,NA,70.2041666671429,71.7535714285714
"UCDHIST-GS0513-2012-04-20",2012,2012-04-20 19:38:42,2012-09-27 19:36:32,2012-05-14 01:26:54,NA,NA,0,"up",2012-05-14 01:26:54,NA,NA,NA,66.9202380957143,64.0898809528571
"UCDHIST-GS0513-2012-04-20",2013,2013-06-17 14:04:56,2013-09-23 09:23:25,2013-08-10 22:48:39,NA,NA,0,"up",2013-08-10 22:48:39,NA,NA,NA,71.4178571428571,70.2431418214286
"UCDHIST-GS0514-2012-04-25",2012,2012-04-26 07:34:38,2012-07-23 09:36:04,2012-06-28 18:21:18,NA,NA,0,"up",2012-06-28 18:21:18,NA,NA,NA,69.4565476185714,69.4208333328571
"UCDHIST-GS0514-2012-04-25",2013,2013-04-29 03:28:19,2013-07-31 07:28:16,2013-06-08 14:01:12,NA,NA,0,"up",2013-06-08 14:01:12,NA,NA,NA,66.7392857142857,69.1894668742857
"UCDHIST-GS0514-2012-04-25",2014,2014-03-20 10:30:15,2014-08-12 09:54:18,2014-07-25 12:28:07,NA,NA,0,"up",2014-07-25 12:28:07,NA,NA,NA,75.4071428571429,72.6375
"UCDHIST-GS0515-2012-04-25",2012,2012-04-26 19:38:19,2012-07-04 08:59:45,2012-06-14 11:35:48,NA,NA,0,"up",2012-06-14 11:35:48,7622,10671,NA,71.6,68.6982142857143
"UCDHIST-GS0517-2012-04-26",2012,2012-04-28 09:12:49,2012-09-16 22:11:23,2012-05-13 04:59:44,NA,NA,0,"up",2012-05-13 04:59:44,7711,10100,NA,66.6827380957143,63.3654761914286
"UCDHIST-GS0519-2012-04-30",2012,2012-05-01 08:29:07,2012-05-02 07:57:58,2012-05-03 20:58:45,2012-05-12 20:07:36,1,1,"up",2012-05-03 20:58:45,7026.88888888889,13660.2222222222,8.96447916666667,62.3630952371429,64.0571428571428
"UCDHIST-GS0520-2012-04-30",2012,2012-05-01 16:33:28,2012-05-10 12:57:55,2012-05-09 01:56:51,NA,NA,0,"up",2012-05-09 01:56:51,NA,NA,NA,65.7601190485714,61.9642857142857
"UCDHIST-GS0520-2012-04-30",2013,2013-01-17 10:55:55,2013-09-29 23:31:26,2013-09-27 05:12:12,NA,NA,0,"up",2013-09-27 05:12:12,NA,NA,NA,65.8988095242857,68.8436594214286
"UCDHIST-GS0521-2012-05-01",2012,2012-05-06 14:54:51,2012-08-25 18:04:34,2012-05-31 06:12:50,NA,NA,0,"up",2012-05-31 06:12:50,7503,9902,NA,69.0755952385714,67.69702381
"UCDHIST-GS0522-2012-05-03",2012,2012-05-06 01:16:33,2012-07-13 03:07:45,2012-05-13 04:38:08,NA,NA,0,"up",2012-05-13 04:38:08,7711,10100,NA,66.6827380957143,63.3654761914286
"UCDHIST-GS0522-2012-05-03",2013,2013-03-15 14:38:56,2013-07-28 03:28:00,2013-07-26 13:16:02,NA,NA,0,"up",2013-07-26 13:16:02,10932,15754,NA,71.1834368528571,71.6619047628571
"UCDHIST-GS0522-2012-05-03",2014,2014-03-13 04:38:53,2014-07-29 08:12:20,2014-05-15 13:23:55,NA,NA,0,"up",2014-05-15 13:23:55,5419,4380,NA,68.82142857,66.8726190471429
"UCDHIST-GS0523-2012-05-03",2012,2012-05-04 00:58:01,2012-06-18 06:24:43,2012-06-14 11:35:14,NA,NA,0,"up",2012-06-14 11:35:14,NA,NA,NA,71.6,68.6982142857143
"UCDHIST-GS0523-2012-05-03",2013,2013-02-19 23:28:28,2013-10-01 22:11:59,2013-06-09 12:19:50,NA,NA,0,"up",2013-06-09 12:19:50,NA,NA,NA,66.7857142857143,69.6091097314286
"UCDHIST-GS0524-2012-05-06",2012,2012-05-06 23:19:20,2012-09-25 18:12:43,2012-09-01 08:13:49,NA,NA,0,"up",2012-09-01 08:13:49,NA,NA,NA,69.4833333328571,70.19642857
"UCDHIST-GS0524-2012-05-06",2013,2013-04-20 06:03:35,2013-08-26 08:09:16,2013-07-31 08:50:50,NA,NA,0,"up",2013-07-31 08:50:50,NA,NA,NA,70.3916666657143,71.8380952385714
"UCDHIST-GS0525-2012-05-06",2012,2012-05-07 11:26:49,2012-09-27 06:03:45,2012-09-22 07:40:40,NA,NA,0,"up",2012-09-22 07:40:40,6569,13846,NA,68.1232142857143,68.1708333328571
