"gauge","date","flow_cfs"
"HMC",2008-05-29,7424
"HMC",2008-05-30,7437
"HMC",2008-05-31,7365
"HMC",2008-06-01,7387
"HMC",2008-06-02,7392
"HMC",2008-06-03,7418
"HMC",2008-06-04,7356
"HMC",2008-06-05,7307
"HMC",2008-06-06,7318
"HMC",2008-06-07,7280
"HMC",2008-06-08,7178
"HMC",2008-06-09,7238
"HMC",2008-06-10,6927
"HMC",2008-06-11,6881
"HMC",2008-06-12,6984
"HMC",2008-06-13,7231
"HMC",2008-06-14,7077
"HMC",2008-06-15,6996
"HMC",2008-06-16,7196
"HMC",2008-06-17,7207
"HMC",2008-06-18,7987
"HMC",2008-06-19,8338
"HMC",2008-06-20,8334
"HMC",2008-06-21,8680
"HMC",2008-06-22,8556
"HMC",2008-06-23,8527
"HMC",2008-06-24,8725
"HMC",2008-06-25,8374
"HMC",2008-06-26,8458
"HMC",2008-06-27,8617
"HMC",2008-06-28,8661
"HMC",2008-06-29,8678
"HMC",2008-06-30,8723
"HMC",2008-07-01,8832
"HMC",2008-07-02,8837
"HMC",2008-07-03,8662
"HMC",2008-07-04,8717
"HMC",2008-07-05,8629
"HMC",2008-07-06,8787
"HMC",2008-07-07,8803
"HMC",2008-07-08,8561
"HMC",2008-07-09,8463
"HMC",2008-07-10,8700
"HMC",2008-07-11,8538
"HMC",2008-07-12,8553
"HMC",2008-07-13,8873
"HMC",2008-07-14,8927
"HMC",2008-07-15,8752
